Category,States/ UT-wise,Year - 2012 - Public Sector,Year - 2012 - Total *,Year - 2013 - Public Sector,Year - 2013 - Total *,Year - 2014 - Public Sector,Year - 2014 - Total *,Year - 2015 - Public Sector,Year - 2015 - Total *,Year - 2016 - Public Sector,Year - 2016 - Total *
State,Andhra Pradesh,22170,130972,22477,52323,11857,56125,12079,60144,12012,64444
State,Arunachal Pradesh,NA,NA,207,NA,219,NA,218,NA,164,8670
State,Assam,600,17035,NA,20211,NA,19912,NA,21401,1090,23863
State,Bihar,414,24097,414,25992,414,27638,223,29384,223,31075
State,Chhattisgarh,NA,45788,NA,49684,NA,54366,NA,58895,NA,64541
State,Goa,412,9513,425,9956,547,10925,540,11224,569,11503
State,Gujarat,8648,67546,8839,70615,8888,72998,8711,76435,8845,82734
State,Haryana,3402,39153,3755,43456,3816,46558,4079,52640,4170,55781
State,Himachal Pradesh,2024,14592,2076,15937,2059,16139,2162,17164,2645,21030
State,Jammu & Kashmir,710,28452,704,29575,694,30634,610,32382,610,33413
State,Jharkhand,NA,13561,NA,30721,NA,12451,NA,13090,NA,74112
State,Karnataka,21889,175705,22740,186705,23708,195913,24028,204803,23803,213699
State,Kerala,5742,400624,5847,407983,5830,413830,5691,418620,5636,111835
State,Madhya Pradesh,NA,40551,NA,40633,NA,42636,NA,45976,NA,167467
State,Maharashtra,23914,119118,24462,129535,24961,140087,25162.06,140102,25613,150427
State,Manipur,NA,4473,NA,5356,NA,5500,NA,5577,NA,7314
State,Meghalaya,50,4326,52,4948,64,4948,63,4948,59,5466
State,Mizoram,47,1141,34,1187,34,1208,33,1231,49,1268
State,Nagaland,NA,6047,233,6289,213,5890,193,5933,185,6282
State,Orissa,NA,25585,376,26672,422,27775,446,28669,459,29818
State,Punjab,1076,30160,2908,30160,2640,30160,2593,30160,2748,41908
State,Rajasthan,4383,83345,4480,88616,4674,93892,4704,97650,4529,102818
State,Sikkim,NA,2097,95,681,97,236,85,272,126,336
State,Tamil Nadu,18937,164208,19350,176427,19966,185216,20132,191827,20509,199330
State,Telangana,NA,NA,NA,77903,10288,82785,10329,88424,10391,47470
State,Tripura,63,2312,63,2291,47,1920,47,2484,48,2749
State,Uttarakhand,NA,10407,8893,10731,1225,11639,1246,12357,1246,7902
State,Uttar Pradesh,8746,57901,1215,64147,9600,74389,9415,80460,9577,89127
State,West Bengal,2027,35603,1976,173710,1830,188968,2033,205480,2223,44771
UT,A & N Islands,NA,903,227,958,258,1007,266,1039,268,1074
UT,Chandigarh,493,5170,472,2295,468,2326,432,2561,494,2729
UT,D & N Haveli,NA,321,NA,359,NA,690,NA,735,NA,554
UT,Daman & Diu,NA,563,NA,594,NA,602,NA,617,NA,51
UT,Delhi,6077,109515,5602,19917,5341,19595,4977,19700,4564,43723
UT,Lakshadweep,NA,NA,NA,NA,NA,37,NA,37,NA,37
UT,Puducherry,NA,5719,NA,7678,NA,7838,NA,8128,NA,7346
Grand Total,Grand Total,131824,1676503,137922,1814245,140160,1886833,140497.06,1970549,142855,1756667
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,                 ,,,,,,,,,,
