STATES / UTs,Year,Category
2014 - Public Sector,2014,Public Sector
2015 - Public Sector,2015,Public Sector
2016 - Public Sector,2016,Public Sector
2017 - Public Sector,2017,Public Sector
2018 - Public Sector,2018,Public Sector
2019 - Public Sector,2019,Public Sector
2020 - Public Sector,2020,Public Sector
2014 - Total (Includes Omni Buses),2014,Total (Includes Omni Buses)
2015 - Total (Includes Omni Buses),2015,Total (Includes Omni Buses)
2016 - Total (Includes Omni Buses),2016,Total (Includes Omni Buses)
2017 - Total (Includes Omni Buses),2017,Total (Includes Omni Buses)
2018 - Total (Includes Omni Buses),2018,Total (Includes Omni Buses)
2019 - Total (Includes Omni Buses),2019,Total (Includes Omni Buses)
2020 - Total (Includes Omni Buses),2020,Total (Includes Omni Buses)
