Sl. No.,State/UT,2018 - Number of Challan,2018 - Fine collected for Challan (Rs.),2018 - Pending Amount (Rs.),2019 - Number of Challan,2019 - Fine collected for Challan (Rs.),2019 - Pending Amount (Rs.),2020 - Number of Challan,2020 - Fine collected for Challan (Rs.),2020 - Pending Amount (Rs.),2021 - Number of Challan,2021 - Fine collected for Challan (Rs.),2021 - Pending Amount (Rs.),2022 - Number of Challan,2022 - Fine collected for Challan (Rs.),2022 - Pending Amount (Rs.)
1,Assam,0,0,0,6,50000,0,233,1260000,590000,1313,7230300,4220000,2859,14710200,13510000
2,Bihar,6,1300,700,116,33700,18500,28,40300,16000,53,87300,14500,356,682400,94000
3,Chhattisgarh,0,0,0,0,0,0,0,0,0,22,2000,3600,0,2000,0
4,Chandigarh,1866,0,0,8920,99400,30000,33812,8751000,13669000,67158,36238000,35071500,188782,62487500,176229000
5,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,0,0,0,0,0,1,1500,0,0,0,0
6,Delhi,2211,316000,4572400,440183,139843000,230239500,965433,932690000,9346320000,514601,207772000,6523716000,302052,192206000,5499622000
7,Goa,0,0,0,0,0,0,7,1900,0,4,900,0,5,0,0
8,Gujarat,324,84000,33900,634,214600,144100,342,579500,134300,552,1217700,170000,2491,1477000,3323000
9,Himachal Pradesh,0,0,0,1621,854400,59600,12800,4775700,509600,37841,15878800,4123700,35281,23537300,27321000
10,Haryana,37362,5600,700,50996,7376900,1466100,16461,28578100,3670100,62558,79362300,32890000,103672,112817000,92511800
11,Jharkhand,0,0,0,0,0,0,0,0,0,7,3000,0,751,534000,260000
12,Jammu and Kashmir,0,0,0,0,0,0,2,1000,0,339,281000,52500,819,533500,332500
13,Karnataka,0,0,0,0,0,0,1,1000,0,3,3000,0,3,0,1000
14,Kerala,0,0,0,0,0,0,616,598500,246000,8665,9555000,2803500,93260,25665250,81622500
15,Maharashtra,3,0,1000,12,4000,8000,24,5000,17000,14303,1285000,18060500,118689,36290000,192856500
16,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,Mizoram,0,0,0,1,1000,0,11,11000,0,23,22000,0,15,13000,4000
18,Punjab,1188,39200,1400,5781,3027200,165900,2912,2142200,170700,395,65900,52000,583,41800,7000
19,Puducherry,0,0,0,1,300,0,0,0,0,15,4600,0,215,45000,400
20,Rajasthan,1693,633100,78500,33538,13227000,143100,14267,7464500,265700,9679,17718100,1059500,26479,43452000,8881000
21,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4000
22,Tamil Nadu,0,0,0,82816,14288600,18586700,344048,52027900,152052800,303580,53688950,155253875,154664,60055850,75336350
23,Tripura,0,0,0,0,0,0,92,59000,24000,774,140000,537000,2054,989000,1137000
24,Uttarakhand,79,6100,2400,1381,288000,399500,2616,1251200,2521300,15521,9084300,16839600,40080,18809700,58322700
25,Uttar Pradesh,85156,904100,16979225,274282,86570975,237037225,225214,184937675,323356750,430804,311807925,650830800,598635,502132125,1053226000
26,West Bengal,0,0,0,0,0,0,0,0,0,2,600,0,19107,8635800,13869600
