State/UT,Awarded Length (km),Length Constructed until 31st March 2024 (km),Expenditure until 31st March 2024 (in Rs. Lakh Crore)
Andhra Pradesh,1936,866,0.21
Assam,431,329,0.06
Bihar,1159,610,0.13
Chhattisgarh,471,168,0.05
Delhi,203,174,0.12
Goa,26,26,0.01
Gujarat,1194,852,0.3
Haryana,1058,845,0.4
Himachal Pradesh,167,110,0.04
Jammu and Kashmir,251,104,0.09
Jharkhand,801,416,0.1
Karnataka,1603,981,0.26
Kerala,708,368,0.37
Madhya Pradesh,2017,1303,0.25
Maharashtra,2174,1768,0.42
Manipur,635,332,0.05
Meghalaya,170,81,0.01
Mizoram,593,363,0.07
Nagaland,208,131,0.02
Odisha,967,846,0.13
Punjab,1553,570,0.25
Rajasthan,2360,2207,0.35
Tamil Nadu,1476,1089,0.21
Telangana,1026,604,0.08
Tripura,94,66,0.01
Uttar Pradesh,2496,1774,0.49
Uttarakhand,264,131,0.05
West Bengal,385,297,0.08
Grand Total,26425,17411,4.59
