State/UT,2018-19,2019-20,2020-21,2021-22 (as on 27.11.2021)
Andaman and Nicobar Islands,0,0,31,10
Andhra Pradesh,337,301,531,592
Arunachal Pradesh,1318,1731,1796,106
Assam,4295,3647,2682,643
Bihar,3308,719,2255,871
Chhattisgarh,3112,1952,4688,812
Goa,0,0,0,0
Gujarat,14,0,202,80
Haryana,5,0,224,1013
Himachal Pradesh,1334,1087,1916,1307
Jammu and Kashmir,1559,1175,3167,1427
Jharkhand,3570,1408,2008,367
Karnataka,6,6,566,1028
Kerala,314,126,77,17
Madhya Pradesh,4521,1872,2956,1935
Maharashtra,267,120,181,27
Manipur,852,754,893,108
Meghalaya,211,274,728,340
Mizoram,267,345,246,187
Nagaland,209,189,36,62
Odisha,8130,5298,1844,290
Puducherry,0,0,0,0
Punjab,247,29,1,69
Rajasthan,2528,103,1856,1858
Sikkim,352,68,157,44
Tamil Nadu,2167,1066,871,977
Tripura,169,85,109,73
Uttar Pradesh,1688,376,711,349
Uttarakhand,1756,2036,3365,501
West Bengal,5111,2180,2179,180
Telangana,381,206,315,313
Ladakh,63,151,86,109
Total,48093,27305,36674,15695
