State/UT,No. of Roads,Road Length Completed (in km)
Andaman and Nicobar,25,45.42
Andhra Pradesh,4813,16561.53
Arunachal Pradesh,1130,12123.94
Assam,8548,30576.91
Bihar,17668,56268.26
Chhattisgarh,8204,41755.45
Goa,70,155.33
Gujarat,4629,14134.01
Haryana,672,7346.4
Himachal Pradesh,3246,20201.65
Jammu and Kashmir,2463,17402.16
Jharkhand,7331,27416.75
Karnataka,3895,22251.56
Kerala,1493,3787.44
Ladakh,113,931.83
Madhya Pradesh,19668,86078.26
Maharashtra,5960,26947.43
Manipur,1647,9463.09
Meghalaya,861,3831.41
Mizoram,260,4126.94
Nagaland,314,4119.83
Odisha,16555,65397.68
Pondicherry,0,0
Punjab,1190,8714.63
Rajasthan,17708,72560.34
Sikkim,856,4412.51
Tamilnadu,9265,21943.56
Telangana,3050,11927.78
Tripura,1314,4728.39
Uttar Pradesh,19151,62607.69
Uttarakhand,1928,18701.65
West Bengal,7089,36364.33
Total,171116,712884.24
