id,label,source,target,caption
r01,high_traffic,bs01,bs02,route01
r02,high_traffic,bs02,bs03,route02
r03,high_traffic,bs03,bs04,route03
r04,high_traffic,bs04,bs05,route04
r05,high_traffic,bs05,bs06,route05
r06,medium_traffic,bs06,bs07,route06
r07,medium_traffic,bs07,bs08,route07
r08,medium_traffic,bs08,bs09,route08
r09,medium_traffic,bs09,bs10,route09
r10,medium_traffic,bs10,bs11,route10
r11,medium_traffic,bs11,bs12,route11
r12,medium_traffic,bs12,bs13,route12
r13,medium_traffic,bs13,bs14,route13
r14,medium_traffic,bs14,bs15,route14
r15,medium_traffic,bs15,bs16,route15
r16,low_traffic,bs16,bs17,route16
r17,low_traffic,bs17,bs18,route17
r18,low_traffic,bs18,bs19,route18
r19,low_traffic,bs19,bs20,route19
r20,low_traffic,bs20,bs01,route20
r21,high_traffic,bs01,bs20,route21
r22,high_traffic,bs02,bs08,route22
r23,high_traffic,bs03,bs19,route23
r24,high_traffic,bs04,bs07,route24
r25,high_traffic,bs05,bs05,route25
r26,medium_traffic,bs06,bs01,route26
r27,medium_traffic,bs07,bs15,route27
r28,medium_traffic,bs08,bs18,route28
r29,medium_traffic,bs09,bs12,route29
r30,medium_traffic,bs10,bs10,route30
r31,medium_traffic,bs11,bs09,route31
r32,medium_traffic,bs12,bs17,route32
r33,medium_traffic,bs13,bs04,route33
r34,medium_traffic,bs14,bs03,route34
r35,medium_traffic,bs15,bs16,route35
r36,low_traffic,bs16,bs13,route36
r37,low_traffic,bs17,bs06,route37
r38,low_traffic,bs18,bs14,route38
r39,low_traffic,bs19,bs11,route39
r40,low_traffic,bs20,bs02,route40
r41,high_traffic,bs01,bs13,route41
r42,high_traffic,bs02,bs11,route42
r43,high_traffic,bs03,bs05,route43
r44,high_traffic,bs04,bs07,route44
r45,high_traffic,bs05,bs19,route45
r46,medium_traffic,bs06,bs16,route46
r47,medium_traffic,bs07,bs20,route47
r48,medium_traffic,bs08,bs14,route48
r49,medium_traffic,bs09,bs04,route49
r50,medium_traffic,bs10,bs15,route50
r51,medium_traffic,bs11,bs02,route51
r52,medium_traffic,bs12,bs18,route52
r53,medium_traffic,bs13,bs03,route53
r54,medium_traffic,bs14,bs10,route54
r55,medium_traffic,bs15,bs17,route55
r56,low_traffic,bs16,bs09,route56
r57,low_traffic,bs17,bs06,route57
r58,low_traffic,bs18,bs12,route58
r59,low_traffic,bs19,bs01,route59
r60,low_traffic,bs20,bs08,route60
r61,high_traffic,bs01,bs03,route61
r62,high_traffic,bs02,bs17,route62
r63,high_traffic,bs03,bs02,route63
r64,high_traffic,bs04,bs08,route64
r65,high_traffic,bs05,bs16,route65
r66,medium_traffic,bs06,bs15,route66
r67,medium_traffic,bs07,bs13,route67
r68,medium_traffic,bs08,bs14,route68
r69,medium_traffic,bs09,bs09,route69
r70,medium_traffic,bs10,bs01,route70
r71,medium_traffic,bs11,bs05,route71
r72,medium_traffic,bs12,bs20,route72
r73,medium_traffic,bs13,bs18,route73
r74,medium_traffic,bs14,bs11,route74
r75,medium_traffic,bs15,bs07,route75
r76,low_traffic,bs16,bs06,route76
r77,low_traffic,bs17,bs19,route77
r78,low_traffic,bs18,bs10,route78
r79,low_traffic,bs19,bs04,route79
r80,low_traffic,bs20,bs12,route80
